"Event.ID" "Gene" "dPSI" "Pdiff"
"HsaEX0044957" "OSBPL9" -0.157511589751267 0.7875
"HsaEX0017167" "CREB1" -0.390404561772518 0.7995
"HsaEX0003702" "ALG2" -0.0964846849612647 0.887
"HsaEX0068101" "TTLL5" 0.0835325765275578 0.52925
"HsaEX0052661" "RBM25" -0.0350082702472192 0.79775
"HsaEX0016831" "COQ6" -0.602470926454498 0.9265
"HsaEX0040859" "MXI1" 0.0859651322724356 0.61025
"HsaEX0033986" "KIAA1267" 0.0225679071452806 0.6165
"HsaEX0060829" "SNX19" 0.143822811893762 0.80925
"HsaEX0033960" "KIAA1217" -0.227608726536274 0.799
"HsaEX0022711" "EPC1" 0.0219225352062682 0.59425
"HsaEX0009302" "C13orf23" 0.00215838264396528 0.51925
"HsaEX0042826" "NFYB" -0.0195187614563064 0.657
"HsaEX0007567" "BAI2" -0.392147487301185 0.93475
"HsaEX0044588" "OCRL" -0.130286692378542 0.853
"HsaEX0013431" "CCDC76" -0.56655249255281 0.99375
"HsaEX0072863" "ZMIZ2" -0.103413317398333 0.67
"HsaEX0072864" "ZMIZ2" 0.145251294296751 0.9995
"HsaEX0030279" "HNRNPA2B1" -0.0823116587802346 0.91
"HsaEX0023915" "FAM126A" -0.00321366985022475 0.58025
"HsaEX0008075" "BICC1" -0.067004527846274 0.71525
"HsaEX0007736" "BAZ2B" 9.92649064350815e-05 0.50375
"HsaEX0007739" "BAZ2B" -0.0672945528252977 0.5865
"HsaEX0036213" "LPGAT1" -0.536162403757457 0.9765
"HsaEX0040725" "MTRR" -0.296286600660135 0.89175
"HsaEX0055987" "RUNX2" -0.290148490969165 0.91025
"HsaEX0066118" "TMTC4" -0.00615607086839498 0.52125
"HsaEX0027383" "GGA3" -0.0448286299493457 0.54725
"HsaEX0064853" "THOC2" -0.130059004917996 0.87025
"HsaEX0067244" "TRIP10" 0.00394942979575721 0.52325
"HsaEX0025954" "FLRT3" -0.504272292185898 0.7715
"HsaEX0030306" "HNRNPR" -0.138038957296478 0.83925
"HsaEX0073547" "ZNF384" -0.388628371172793 0.99325
"HsaEX0022122" "ELK1" 0.00534820604268488 0.51175
"HsaEX0064986" "TIMM17B" -0.0331328745275601 0.51025
"HsaEX0035084" "KTN1" -0.115489436271725 0.986
"HsaEX0037162" "MACF1" -0.0216428712785121 0.6845
"HsaEX0037166" "MACF1" -0.0923076546153767 0.71025
"HsaEX0037169" "MACF1" -0.303421523326811 0.6995
"HsaEX0060281" "SMARCA4" -0.0693474855805466 0.84725
"HsaEX0062812" "STYXL1" -0.116770826675386 0.8655
"HsaEX0046621" "PEX1" -0.20851467368659 0.67225
"HsaEX0057772" "SGCE" -0.325346481001061 0.99675
"HsaEX0065983" "TMEM85" -0.0882923185154295 0.7505
"HsaEX0048807" "PODXL" -0.00572072619338644 0.503
"HsaEX0025941" "FLNC" 0.00660394628601424 0.668
"HsaEX0036531" "LRRC17" -0.125204061045577 0.974
"HsaEX0040757" "MTX2" -0.0191950716466915 0.56275
"HsaEX0050578" "PSMA1" 0.000194068434430483 0.5075
"HsaEX0031555" "ILF3" -0.0934158736140588 0.73925
"HsaEX0064471" "TEP1" -0.730351575748012 0.89475
"HsaEX0006279" "ASH2L" 0.00253386143440071 0.53025
"HsaEX0068401" "TULP4" -0.00447962789494827 0.56425
"HsaEX0039528" "MLLT1" 0.104370143140822 0.94925
