"EVENT" "median_value" "mean_value" "var_value"
"HsaEX0000855" 89.585 80.8604166666667 785.462960688406
"HsaEX0000856" 100 77.8110606060606 978.395375780886
"HsaEX0000859" 54.985 53.6868292682927 775.687029328516
"HsaEX0000874" 86.21 76.7727731092437 690.317291397237
"HsaEX0000885" 70 65.5516666666667 1449.23729666667
"HsaEX0000886" 28.42 30.0285401459854 206.527287559038
"HsaEX0000890" 6.63 14.8527972027972 499.400470993795
"HsaEX0000892" 83.45 80.6874305555556 224.436561883256
"HsaEX0000901" 73.98 71.3344444444444 899.9166721598
"HsaEX0000903" 0 20.4025714285714 1509.4961902521
"HsaEX0000914" 77.05 72.1596551724138 923.994635926223
"HsaEX0000924" 44.33 51.4194623655914 1142.38250514259
"HsaEX0000929" 56.28 57.6781679389313 667.672959694656
"HsaEX0000931" 17.37 27.4919642857143 958.409327638353
"HsaEX0000943" 70.83 62.1763636363636 1789.23252545455
"HsaEX0000949" 100 79.0096153846154 1063.87939584615
"HsaEX0000950" 51.26 58.2613793103448 1550.0197908867
"HsaEX0000986" 50.2 60.3216666666667 1557.97253235294
"HsaEX0000987" 84.96 80.3779591836735 518.297004039554
"HsaEX0001019" 100 83.0211764705882 821.830922588235
"HsaEX0001031" 52.45 54.2983720930233 695.190824672965
"HsaEX0001049" 79.35 59.0977777777778 1598.67519444444
"HsaEX0001056" 11.905 30.34125 1442.24804711538
"HsaEX0001063" 17.935 21.1064788732394 169.530549215863
"HsaEX0001065" 80.95 74.36128 657.188977380645
"HsaEX0001075" 36.53 37.2605 423.916478165468
"HsaEX0001082" 42.86 45.1755944055944 352.158069890673
"HsaEX0001086" 10.92 13.1166666666667 35.5980333333333
"HsaEX0001087" 4.37 21.770487804878 1217.46334790726
"HsaEX0001088" 100 87.372 466.119521797753
"HsaEX0001090" 33.33 43.3830275229358 1211.53759723072
"HsaEX0001102" 8.11 19.3082524271845 913.632965543499
"HsaEX0001125" 36.665 45.2490909090909 2049.17094199134
"HsaEX0001131" 6.67 15.7234920634921 722.358477931388
"HsaEX0001135" 86.325 77.5874193548387 716.343320115395
"HsaEX0001153" 55.56 59.3288695652174 1102.88903643021
"HsaEX0001156" 0 20.885 1743.09589444444
"HsaEX0001157" 94.735 64.9620454545455 1553.20524920719
"HsaEX0001168" 79.745 76.1966666666667 325.544669720102
"HsaEX0001172" 90.32 84.6954198473282 298.874971168526
"HsaEX0001187" 43.48 56.1374285714286 1365.83602554622
"HsaEX0001194" 67.16 66.9609433962264 786.372494339623
"HsaEX0001196" 39.83 43.7968461538462 904.445784549791
"HsaEX0001197" 74.44 81.7422222222222 212.272144444444
"HsaEX0001230" 77.415 71.0172463768116 661.389379223527
"HsaEX0001241" 13.43 18.3068181818182 577.774375108225
"HsaEX0001251" 38.46 44.4295774647887 1614.1456155332
"HsaEX0001252" 87.5 80.653795620438 490.181160487334
"HsaEX0001258" 64.535 66.9005 509.934569495798
"HsaEX0001270" 36.495 42.1480357142857 1163.82916152597
"HsaEX0001314" 0 20.6872727272727 1581.46482181818
"HsaEX0001325" 100 74.3195652173913 1269.81218616601
"HsaEX0001342" 40 43.9187341772152 1360.68359324895
"HsaEX0001343" 20 27.9067924528302 918.050341436865
"HsaEX0001346" 20 28.2693333333333 892.494056694678
"HsaEX0001359" 27.305 42.5603125 1341.08822411184
"HsaEX0001366" 33.33 47.215 1603.88050181818
"HsaEX0001381" 43.315 49.4713513513514 1266.07243102555
"HsaEX0001383" 20.32 37.738 1911.54933263158
"HsaEX0001384" 56.12 53.345 1949.37922777778
"HsaEX0001393" 72.41 70.3609523809524 575.552138285714
"HsaEX0001395" 66.67 66.9842028985507 525.650075637364
"HsaEX0001398" 49.635 50.9160144927536 578.996145313657
"HsaEX0001401" 37.28 46.42875 1285.7598125
"HsaEX0001404" 16.035 18.4446478873239 188.3456378184
"HsaEX0001406" 92.86 69.729512195122 1303.4863097561
"HsaEX0001413" 13.145 26.7531578947368 1186.85604381223
"HsaEX0001433" 87.69 85.6859259259259 245.909234770591
"HsaEX0001435" 52.17 53.3367938931298 654.678709641809
"HsaEX0001491" 87.57 70.4357142857143 1391.96772857143
"HsaEX0001492" 39.57 48.265 1369.37176666667
"HsaEX0001512" 82.21 82.2819014084507 158.741625437019
"HsaEX0001519" 12.18 15.3864383561644 295.185134360731
"HsaEX0001526" 33.33 45.298085106383 1791.8803679926
"HsaEX0001535" 100 64.0247619047619 1723.75933619048
"HsaEX0001557" 72.975 68.7995833333333 1011.32958677536
"HsaEX0001558" 25 29.3079136690647 513.562441267855
"HsaEX0001569" 87.5 84.3319852941176 282.626786399782
"HsaEX0001571" 95.96 77.6568518518519 838.004912543676
"HsaEX0001572" 94.22 86.14625 499.342369642857
"HsaEX0001573" 57.14 58.1373333333333 1369.49979272727
"HsaEX0001583" 100 85.5152941176471 607.662060803727
"HsaEX0001584" 100 89.6702985074627 852.54522718227
"HsaEX0001605" 10.08 16.5108391608392 343.076757037329
"HsaEX0001609" 16.98 22.0464367816092 706.581448783748
"HsaEX0001625" 10.81 13.9054545454545 159.938706658131
"HsaEX0001649" 72.63 64.3577777777778 1556.89535947712
"HsaEX0001661" 82.94 80.0845454545454 272.44808553137
"HsaEX0001682" 87.42 85.1564925373134 224.500550763102
"HsaEX0001684" 25.35 28.6705223880597 394.021078672427
"HsaEX0001695" 88.005 86.187 188.629235116279
"HsaEX0001716" 77.35 76.7263846153846 380.423458920692
"HsaEX0001726" 86.845 83.7263432835821 243.832205324879
"HsaEX0001753" 87.07 83.5497183098592 281.916460912996
"HsaEX0001805" 2.82 15.935 679.885973426573
"HsaEX0001839" 15.15 20.5427464788732 323.673546304065
"HsaEX0001861" 87.53 79.9437190082645 504.803501887052
"HsaEX0001873" 87.88 86.0548031496063 186.179733095863
"HsaEX0001901" 100 80.6551666666667 1471.96405929379
"HsaEX0001928" 58.87 57.6687412587413 439.138968826948
"HsaEX0001940" 71.035 71.5033571428571 241.464852677287
"HsaEX0001942" 75.32 78.5988461538462 524.042866615385
"HsaEX0001943" 35 37.5046153846154 1180.91483384615
"HsaEX0001973" 40.22 43.3971631205674 1156.66701760892
"HsaEX0002012" 61.605 63.2028703703704 661.730403833506
"HsaEX0002035" 9.09 21.2572826086957 815.54883319398
"HsaEX0002037" 100 76.1141379310345 1160.41093345433
"HsaEX0002040" 100 80.616 941.369109473684
"HsaEX0002056" 85.43 82.4638518518519 262.826420873411
"HsaEX0002072" 45.83 47.1955862068966 308.89427066092
"HsaEX0002076" 78.605 79.14 243.774652482269
"HsaEX0002092" 81.82 69.3086813186813 1138.83269601954
"HsaEX0002093" 100 83.1957777777778 663.293179725343
"HsaEX0002151" 71.43 55.3397826086956 1701.40535160057
"HsaEX0002219" 89.92 85.772523364486 397.011017157468
"HsaEX0002242" 89.5 86.6698561151079 201.050043457408
"HsaEX0002246" 89.85 86.552695035461 207.108632684904
"HsaEX0002248" 88.84 81.6439130434783 526.432615810277
"HsaEX0002249" 10.11 31.0119047619048 1594.87458164925
"HsaEX0002256" 80.65 79.1653146853147 202.143772963656
"HsaEX0002316" 14.99 19.6821487603306 416.409508677686
"HsaEX0002349" 100 89.0602597402597 821.93264203691
"HsaEX0002350" 92.86 84.2052631578947 474.142759664648
"HsaEX0002353" 20 35.7133766233766 1520.11040950103
"HsaEX0002355" 92.855 84.1337962962963 518.264169565594
"HsaEX0002369" 48.075 50.3298780487805 1307.47511233062
"HsaEX0002374" 55.29 53.14 1701.51683333333
"HsaEX0002434" 76.295 74.3883050847458 438.083964624076
"HsaEX0002469" 90.48 81.3737974683544 558.397811035378
"HsaEX0002480" 30.43 40.4227777777778 1561.08096604361
"HsaEX0002508" 100 89.6403225806452 892.726729892473
"HsaEX0002517" 100 81.2948 658.149601
"HsaEX0002518" 87.5 76.6803225806452 928.87187655914
"HsaEX0002537" 48.35 51.5573786407767 1202.74016659052
"HsaEX0002539" 100 85.8841071428571 478.53060460103
"HsaEX0002543" 21.74 24.719603960396 516.061951841584
"HsaEX0002578" 83.775 80.8435245901639 321.659768466332
"HsaEX0002588" 77.78 76.6793684210526 459.284746405375
"HsaEX0002604" 94.925 87.1363392857143 384.497918910875
"HsaEX0002616" 90.91 85.5769105691057 385.411316606691
"HsaEX0002635" 61.44 61.6255797101449 376.9575284936
"HsaEX0002643" 13.305 20.4820967741935 532.647839470233
"HsaEX0002648" 0 10.1889333333333 760.749688036036
"HsaEX0002707" 100 84.7271698113207 1092.53368991292
"HsaEX0002708" 14.29 46.1360975609756 2376.43173939024
"HsaEX0002709" 100 74.1866666666667 1421.50240769231
